date,open,high,low,close,volume,amount,symbol
2018-01-02,4.48,4.64,4.45,4.57,91786.16,41764.102,000949.SZ
2018-01-03,4.52,4.56,4.51,4.53,68819.13,31179.003,000949.SZ
2018-01-04,4.52,4.59,4.51,4.52,58343.2,26504.426,000949.SZ
2018-01-05,4.52,4.59,4.5,4.53,60011.08,27231.55,000949.SZ
2018-01-08,4.54,4.63,4.52,4.62,88467.15,40564.385,000949.SZ
2018-01-09,4.62,4.62,4.51,4.51,68087.1,31009.477,000949.SZ
2018-01-10,4.5,4.51,4.33,4.35,105315.54,46347.431,000949.SZ
2018-01-11,4.35,4.45,4.31,4.39,41586.24,18204.251,000949.SZ
2018-01-12,4.39,4.39,4.32,4.33,29205.6,12715.15,000949.SZ
2018-01-15,4.33,4.35,4.17,4.18,57826.0,24511.75,000949.SZ
2018-01-16,4.17,4.22,4.15,4.19,25780.56,10786.84,000949.SZ
2018-01-17,4.19,4.19,4.06,4.12,66816.2,27392.768,000949.SZ
2018-01-18,4.11,4.15,4.1,4.12,25743.0,10616.364,000949.SZ
2018-01-19,4.12,4.14,4.09,4.13,25122.93,10366.983,000949.SZ
2018-01-22,4.14,4.19,4.13,4.16,29230.34,12158.759,000949.SZ
2018-01-23,4.16,4.17,4.14,4.14,25272.26,10486.906,000949.SZ
2018-01-24,4.13,4.16,4.13,4.14,26531.4,10998.591,000949.SZ
2018-01-25,4.16,4.24,4.15,4.21,40674.12,17094.405,000949.SZ
2018-01-26,4.2,4.25,4.19,4.23,25779.74,10891.172,000949.SZ
2018-01-29,4.26,4.26,4.12,4.13,27223.0,11399.558,000949.SZ
2018-01-30,4.14,4.18,4.07,4.09,41002.0,16897.534,000949.SZ
2018-01-31,4.02,4.06,3.9,3.97,59189.55,23489.317,000949.SZ
2018-02-01,3.94,4.0,3.85,3.86,41495.4,16233.221,000949.SZ
2018-02-02,3.87,3.88,3.76,3.82,41035.42,15673.607,000949.SZ
2018-02-05,3.81,4.0,3.78,3.89,38579.09,14994.408,000949.SZ
2018-02-06,3.85,3.95,3.79,3.79,32782.84,12636.549,000949.SZ
2018-02-07,3.82,3.96,3.76,3.95,51113.86,19691.885,000949.SZ
2018-02-08,3.92,3.95,3.89,3.91,24092.6,9436.098,000949.SZ
2018-02-09,3.84,3.85,3.75,3.79,34237.34,13013.641,000949.SZ
2018-02-12,3.81,3.89,3.81,3.86,19182.24,7409.972,000949.SZ
2018-02-13,3.86,3.89,3.83,3.83,18702.0,7222.125,000949.SZ
2018-02-14,3.85,3.85,3.82,3.83,10481.6,4019.457,000949.SZ
2018-02-22,3.85,3.91,3.84,3.89,15448.33,5991.759,000949.SZ
2018-02-23,3.9,3.92,3.88,3.9,16429.04,6413.678,000949.SZ
2018-02-26,3.91,3.95,3.89,3.93,25016.13,9818.153,000949.SZ
2018-02-27,3.91,3.94,3.9,3.93,20303.04,7957.046,000949.SZ
2018-02-28,3.92,3.98,3.91,3.92,31864.8,12573.038,000949.SZ
2018-03-01,3.9,3.94,3.9,3.94,29447.65,11549.588,000949.SZ
2018-03-02,3.92,4.01,3.92,3.95,31319.41,12406.235,000949.SZ
2018-03-05,3.92,3.97,3.92,3.94,13053.51,5140.686,000949.SZ
2018-03-06,3.93,3.97,3.92,3.96,21198.17,8373.122,000949.SZ
2018-03-07,3.96,3.97,3.93,3.93,17669.0,6981.37,000949.SZ
2018-03-08,3.95,4.27,3.93,4.07,91312.95,37666.197,000949.SZ
2018-03-09,4.05,4.1,4.04,4.06,36978.55,15007.971,000949.SZ
2018-03-12,4.05,4.1,4.04,4.07,33590.28,13687.491,000949.SZ
2018-03-13,4.06,4.1,4.06,4.08,28102.08,11477.826,000949.SZ
