date,open,high,low,close,volume,amount
2018-01-02,6.3100872000,6.3843235200,6.2729690400,6.3008076600,11021066,75049531.0000
2018-01-03,6.2915281200,6.3472053600,6.2451304200,6.2544099600,12288921,83225633.0000
2018-01-04,6.2915281200,6.3286462800,6.2172918000,6.3193667400,12082092,81677277.0000
2018-01-05,6.3008076600,6.5420757000,6.2822485800,6.5049575400,25109236,174419813.0000
2018-01-08,6.8204619000,6.8204619000,6.6163120200,6.6998278800,27247684,196492123.0000
2018-01-09,6.8204619000,6.8761391400,6.6627097200,6.6627097200,20476985,149163868.0000
2018-01-10,6.7833437400,7.2009230400,6.6905483400,7.0988481000,49474160,370901215.0000
2018-01-11,7.0988481000,7.4607501600,7.0060527000,7.2287616600,54639317,430790505.0000
2018-01-12,7.2844389000,7.3865138400,7.0524504000,7.2751593600,32053920,248075366.0000
2018-01-15,7.5071478600,7.7298568200,7.2287616600,7.3029979800,50837520,410124537.0000
2018-01-16,7.4050729200,7.4885887800,7.0802890200,7.2102025800,34053664,265786025.0000
2018-01-17,7.2473207400,7.2658798200,6.9782140800,7.2194821200,27336942,209398025.0000
2018-01-18,7.2287616600,7.3308366000,7.1266867200,7.2102025800,17588197,136930647.0000
2018-01-19,7.1638048800,7.3215570600,7.1266867200,7.2380412000,17892677,139073879.0000
2018-01-22,7.3308366000,7.3586752200,7.1545253400,7.2751593600,18311967,143248513.0000
2018-01-23,7.3029979800,7.3586752200,7.2009230400,7.3493956800,16834555,132124678.0000
2018-01-24,7.3865138400,7.6463409600,7.3401161400,7.6185023400,33396188,271131197.0000
2018-01-25,7.6277818800,7.6834591200,7.4978683200,7.6092228000,19469165,159001191.0000
2018-01-26,7.6834591200,7.7020182000,7.5349864800,7.5999432600,17861959,146691155.0000
2018-01-29,7.6370614200,7.7948136000,7.3865138400,7.3957933800,20350213,164751311.0000
2018-01-30,7.3308366000,7.4050729200,7.2380412000,7.3029979800,13583391,107237209.0000
2018-01-31,7.3401161400,7.4143524600,6.9132573000,6.9318163800,21703403,167083893.0000
