date,open,close,high,low,volume,amount,symbol
2021-01-04,9.87,9.78,9.91,9.78,92128,91168928.0,000688.SZ
2021-01-05,9.74,9.48,9.75,9.38,153830,147616553.0,000688.SZ
2021-01-06,9.48,8.99,9.58,8.98,164296,152315308.0,000688.SZ
2021-01-07,8.9,8.22,9.03,8.14,249133,214597832.0,000688.SZ
2021-01-08,8.11,8.38,8.46,7.83,178359,147713640.0,000688.SZ
2021-01-11,8.31,8.15,8.35,8.09,108481,89742317.0,000688.SZ
2021-01-12,8.21,8.21,8.29,8.06,98768,81382378.0,000688.SZ
2021-01-13,8.18,8.38,8.41,7.97,136285,112070604.0,000688.SZ
2021-01-14,8.47,8.96,9.23,8.31,223726,199785867.0,000688.SZ
2021-01-15,8.93,8.8,9.04,8.74,102955,91710019.0,000688.SZ
2021-01-18,8.68,9.25,9.37,8.66,159017,145747501.0,000688.SZ
2021-01-19,9.26,9.21,9.71,9.19,180755,169707745.0,000688.SZ
2021-01-20,9.19,9.0,9.19,8.98,91365,83369237.0,000688.SZ
2021-01-21,9.02,9.04,9.17,8.94,68171,62316161.0,000688.SZ
2021-01-22,9.05,8.88,9.09,8.81,81374,73324666.0,000688.SZ
2021-01-25,8.9,8.9,9.01,8.69,89683,79986206.0,000688.SZ
2021-01-26,8.87,8.66,8.96,8.6,58163,51364715.0,000688.SZ
2021-01-27,8.71,8.7,8.78,8.62,33903,29740582.0,000688.SZ
2021-01-28,8.63,8.48,8.78,8.48,50675,44040237.0,000688.SZ
2021-01-29,8.61,8.44,8.8,8.38,64309,55667749.0,000688.SZ
2021-02-01,8.54,8.44,8.59,8.35,45728,38998564.0,000688.SZ
2021-02-02,8.59,8.57,8.81,8.56,66855,58308703.0,000688.SZ
2021-02-03,8.53,8.24,8.56,8.23,71424,60116447.0,000688.SZ
2021-02-04,8.17,8.22,8.28,7.89,70673,57616947.0,000688.SZ
2021-02-05,8.18,8.15,8.36,8.11,47039,38998566.0,000688.SZ
2021-02-08,8.17,8.22,8.39,8.14,44634,37238904.0,000688.SZ
2021-02-09,8.24,8.28,8.47,8.19,54278,45557895.0,000688.SZ
2021-02-10,8.33,8.15,8.33,8.13,51874,42842837.0,000688.SZ
2021-02-18,8.27,8.64,8.69,8.26,101626,87367617.0,000688.SZ
2021-02-19,8.63,9.3,9.37,8.55,153621,140380484.0,000688.SZ
2021-02-22,9.64,9.73,10.1,9.55,305699,300648768.0,000688.SZ
2021-02-23,9.61,9.26,9.64,9.19,170840,161605241.0,000688.SZ
2021-02-24,9.3,9.36,9.61,9.25,140582,133248442.0,000688.SZ
2021-02-25,9.55,9.17,9.68,9.1,117516,110212939.0,000688.SZ
2021-02-26,9.0,9.23,9.31,8.94,93340,85946180.0,000688.SZ
2021-03-01,9.2,9.47,9.49,9.13,121841,114516858.0,000688.SZ
2021-03-02,9.41,9.01,9.46,8.98,119896,110535205.0,000688.SZ
2021-03-03,9.02,9.36,9.43,9.02,137318,128358568.0,000688.SZ
2021-03-04,9.25,9.33,9.55,9.23,143950,136136593.0,000688.SZ
2021-03-05,9.28,9.53,9.68,9.1,182923,172845709.0,000688.SZ
2021-03-08,9.65,10.49,10.49,9.65,116309,120617142.0,000688.SZ
2021-03-09,10.8,10.19,11.54,10.17,614154,675306272.0,000688.SZ
2021-03-10,9.98,9.51,10.21,9.4,285907,278333712.0,000688.SZ
2021-03-11,9.5,9.85,10.05,9.18,247354,240005511.0,000688.SZ
2021-03-12,9.85,9.45,9.92,9.34,187160,180284703.0,000688.SZ
2021-03-15,9.71,10.4,10.4,9.63,312226,323568864.0,000688.SZ
2021-03-16,10.73,10.63,11.12,10.32,437441,471452384.0,000688.SZ
2021-03-17,10.52,10.51,10.68,10.23,228312,240611853.0,000688.SZ
2021-03-18,10.61,10.66,10.9,10.43,296457,318802208.0,000688.SZ
2021-03-19,10.4,10.17,10.51,10.11,204395,211038286.0,000688.SZ
2021-03-22,10.01,10.22,10.25,10.0,147289,150357011.0,000688.SZ
2021-03-23,10.22,9.63,10.24,9.45,202309,199780084.0,000688.SZ
2021-03-24,9.52,9.12,9.54,9.08,163783,153229345.0,000688.SZ
2021-03-25,9.12,8.85,9.26,8.82,167383,152532166.0,000688.SZ
2021-03-26,8.86,8.9,8.97,8.68,110786,98736655.0,000688.SZ
2021-03-29,9.02,8.88,9.14,8.87,82986,75005888.0,000688.SZ
2021-03-30,8.83,8.63,8.83,8.6,107081,93625225.0,000688.SZ
2021-03-31,8.66,8.73,8.78,8.6,75967,66594754.0,000688.SZ
2021-04-01,8.78,8.76,8.8,8.64,62500,54840512.0,000688.SZ
2021-04-02,8.78,8.88,9.1,8.72,88584,79506315.0,000688.SZ
2021-04-06,8.9,8.93,9.03,8.87,60887,54747895.0,000688.SZ
2021-04-07,8.92,9.09,9.09,8.84,90908,82295532.0,000688.SZ
2021-04-08,9.05,9.06,9.21,8.98,114042,104528381.0,000688.SZ
2021-04-09,9.09,8.94,9.12,8.91,75629,68607180.0,000688.SZ
2021-04-12,8.94,8.63,8.94,8.53,103063,90265094.0,000688.SZ
2021-04-13,8.49,8.86,8.93,8.03,153111,130439516.0,000688.SZ
2021-04-14,8.74,8.73,8.88,8.66,67006,58983554.0,000688.SZ
2021-04-15,8.83,8.98,9.07,8.7,85259,76392883.0,000688.SZ
2021-04-16,8.98,9.03,9.23,8.98,79974,73111463.0,000688.SZ
2021-04-19,8.99,9.09,9.1,8.92,67707,61734874.0,000688.SZ
2021-04-20,9.09,8.94,9.11,8.93,90843,82270717.0,000688.SZ
2021-04-21,8.94,8.92,8.96,8.77,67710,60484632.0,000688.SZ
2021-04-22,8.92,9.23,9.27,8.92,155712,143839707.0,000688.SZ
2021-04-23,9.13,9.04,9.25,9.03,68127,62540866.0,000688.SZ
2021-04-26,9.04,8.96,9.16,8.94,67948,61937371.0,000688.SZ
2021-04-27,8.94,8.82,9.05,8.71,68837,61467722.0,000688.SZ
2021-04-28,8.84,8.86,8.88,8.66,69106,61045905.0,000688.SZ
2021-04-29,8.87,8.87,8.96,8.76,64254,57463495.0,000688.SZ
2021-04-30,8.81,9.03,9.08,8.65,84679,75369322.0,000688.SZ
2021-05-06,9.09,9.14,9.2,8.96,109446,100419962.0,000688.SZ
2021-05-07,9.27,9.62,9.98,9.24,256582,247997380.0,000688.SZ
2021-05-10,9.78,10.59,10.59,9.63,296132,302246992.0,000688.SZ
2021-05-11,10.93,10.31,11.11,9.97,408421,433793840.0,000688.SZ
2021-05-12,10.35,10.58,10.61,10.14,272620,284777776.0,000688.SZ
2021-05-13,10.21,9.88,10.22,9.88,218583,220416825.0,000688.SZ
2021-05-14,9.88,10.0,10.04,9.76,129495,129520489.0,000688.SZ
2021-05-17,9.78,9.56,9.99,9.53,178605,174365825.0,000688.SZ
2021-05-18,9.82,9.86,9.99,9.65,143752,142802739.0,000688.SZ
2021-05-19,9.7,9.63,9.78,9.58,105960,103027688.0,000688.SZ
2021-05-20,9.41,9.12,9.41,9.11,154554,143408692.0,000688.SZ
2021-05-21,9.11,9.2,9.35,9.08,89995,83527944.0,000688.SZ
2021-05-24,9.22,9.21,9.49,9.17,112644,105554505.0,000688.SZ
2021-05-25,9.19,9.17,9.28,9.08,89799,82978771.0,000688.SZ
2021-05-26,9.21,9.28,9.43,9.12,118580,110995784.0,000688.SZ
2021-05-27,9.21,9.28,9.36,9.14,85346,79637346.0,000688.SZ
2021-05-28,9.43,9.23,9.52,9.18,115549,108684890.0,000688.SZ
2021-05-31,9.23,9.31,9.45,9.23,95860,90054826.0,000688.SZ
2021-06-01,9.31,9.44,9.46,9.19,108217,101846373.0,000688.SZ
2021-06-02,9.43,9.18,9.43,9.16,101978,95324546.0,000688.SZ
2021-06-03,9.14,9.1,9.27,9.1,67855,62806759.0,000688.SZ
2021-06-04,8.93,9.07,9.1,8.84,82441,74589610.0,000688.SZ
2021-06-07,9.03,9.02,9.11,8.99,53568,48767755.0,000688.SZ
2021-06-08,9.02,9.04,9.08,8.97,50853,46187985.0,000688.SZ
2021-06-09,9.04,9.14,9.16,9.04,62885,57668812.0,000688.SZ
2021-06-10,9.12,9.08,9.14,9.03,51151,46727541.0,000688.SZ
