date,open,close,high,low,volume,amount,symbol
2018-01-02,-1.87,-1.81,-1.79,-1.91,491807,337706672.0,601919.SH
2018-01-03,-1.74,-1.71,-1.57,-1.77,920338,652782880.0,601919.SH
2018-01-04,-1.74,-1.65,-1.58,-1.78,597430,423689296.0,601919.SH
2018-01-05,-1.64,-1.57,-1.52,-1.73,722588,515959760.0,601919.SH
2018-01-08,-1.56,-1.54,-1.45,-1.64,690184,499748848.0,601919.SH
2018-01-09,-1.56,-1.66,-1.56,-1.73,700779,497074464.0,601919.SH
2018-01-10,-1.65,-1.64,-1.63,-1.75,557107,393856160.0,601919.SH
2018-01-11,-1.68,-1.7,-1.62,-1.72,351112,248086299.0,601919.SH
2018-01-12,-1.7,-1.76,-1.65,-1.78,372609,261282021.0,601919.SH
2018-01-15,-1.79,-2.02,-1.76,-2.04,635405,430400000.0,601919.SH
2018-01-16,-2.04,-1.98,-1.96,-2.07,372023,246825713.0,601919.SH
2018-01-17,-2.0,-1.97,-1.9,-2.06,382105,254913168.0,601919.SH
2018-01-18,-2.0,-1.93,-1.9,-2.06,334830,224337494.0,601919.SH
2018-01-19,-1.94,-1.8,-1.78,-1.98,491483,336043056.0,601919.SH
2018-01-22,-1.83,-1.83,-1.77,-1.88,349033,239488806.0,601919.SH
2018-01-23,-1.83,-1.8,-1.74,-1.86,338379,233516784.0,601919.SH
2018-01-24,-1.81,-1.61,-1.6,-1.83,765826,541392800.0,601919.SH
2018-01-25,-1.62,-1.65,-1.5,-1.68,603838,434963280.0,601919.SH
2018-01-26,-1.65,-1.56,-1.47,-1.68,652053,472292080.0,601919.SH
2018-01-29,-1.53,-1.55,-1.37,-1.6,860028,631002224.0,601919.SH
2018-01-30,-1.57,-1.6,-1.51,-1.7,559823,399860272.0,601919.SH
2018-01-31,-1.66,-1.55,-1.5,-1.69,631677,453950960.0,601919.SH
2018-02-01,-1.57,-1.94,-1.56,-2.0,870819,601949664.0,601919.SH
2018-02-02,-2.02,-1.84,-1.8,-2.07,465354,314236048.0,601919.SH
2018-02-05,-1.93,-1.8,-1.77,-2.0,450830,309290640.0,601919.SH
2018-02-06,-1.9,-2.12,-1.84,-2.2,564753,376468416.0,601919.SH
2018-02-07,-2.02,-2.17,-1.98,-2.19,398991,261953783.0,601919.SH
2018-02-08,-2.2,-2.23,-2.07,-2.34,388526,248134660.0,601919.SH
2018-02-09,-2.38,-2.5,-2.34,-2.58,554290,335270848.0,601919.SH
2018-02-12,-2.48,-2.5,-2.45,-2.55,288096,173058161.0,601919.SH
2018-02-13,-2.48,-2.51,-2.41,-2.53,260916,157888825.0,601919.SH
2018-02-14,-2.5,-2.54,-2.49,-2.63,244284,144705535.0,601919.SH
2018-02-22,-2.47,-2.44,-2.42,-2.53,273601,165672772.0,601919.SH
2018-02-23,-2.45,-2.4,-2.38,-2.48,260409,158850296.0,601919.SH
2018-02-26,-2.38,-2.34,-2.33,-2.42,288202,177958326.0,601919.SH
2018-02-27,-2.33,-2.44,-2.31,-2.46,365814,224534840.0,601919.SH
2018-02-28,-2.48,-2.48,-2.46,-2.53,306339,184144033.0,601919.SH
2018-03-01,-2.52,-2.47,-2.45,-2.58,236450,142032852.0,601919.SH
2018-03-02,-2.52,-2.53,-2.49,-2.57,266374,158936286.0,601919.SH
2018-03-05,-2.54,-2.53,-2.48,-2.56,192160,114844314.0,601919.SH
2018-03-06,-2.5,-2.42,-2.4,-2.5,348323,211722733.0,601919.SH
2018-03-07,-2.38,-2.44,-2.36,-2.44,249113,152566393.0,601919.SH
2018-03-08,-2.44,-2.28,-2.24,-2.47,515477,320598464.0,601919.SH
2018-03-09,-2.27,-2.15,-2.07,-2.3,612979,395338608.0,601919.SH
2018-03-12,-2.14,-2.14,-2.1,-2.24,322052,207478884.0,601919.SH
2018-03-13,-2.18,-2.23,-2.16,-2.24,243974,156040524.0,601919.SH
2018-03-14,-2.25,-2.29,-2.21,-2.32,251925,158874538.0,601919.SH
2018-03-15,-2.3,-2.27,-2.2,-2.3,216708,137121068.0,601919.SH
2018-03-16,-2.27,-2.2,-2.14,-2.3,295326,189069636.0,601919.SH
2018-03-19,-2.17,-2.25,-2.14,-2.27,185803,118350286.0,601919.SH
2018-03-20,-2.32,-2.3,-2.29,-2.4,265771,165126213.0,601919.SH
2018-03-21,-2.29,-2.3,-2.25,-2.36,189768,119137083.0,601919.SH
2018-03-22,-2.34,-2.35,-2.3,-2.41,297003,183237998.0,601919.SH
2018-03-23,-2.54,-2.38,-2.36,-2.72,838233,493117920.0,601919.SH
2018-03-26,-2.52,-2.57,-2.5,-2.62,376624,222612908.0,601919.SH
2018-03-27,-2.52,-2.54,-2.48,-2.59,336553,200284692.0,601919.SH
2018-03-28,-2.59,-2.59,-2.56,-2.66,281544,164871332.0,601919.SH
2018-03-29,-2.59,-2.57,-2.54,-2.66,185457,108962750.0,601919.SH
2018-03-30,-2.57,-2.59,-2.55,-2.6,140698,83009586.0,601919.SH
2018-04-02,-2.61,-2.61,-2.54,-2.64,188141,110842331.0,601919.SH
2018-04-03,-2.66,-2.74,-2.66,-2.76,255501,146056926.0,601919.SH
2018-04-04,-2.74,-2.81,-2.7,-2.82,214395,121483943.0,601919.SH
2018-04-09,-2.87,-2.85,-2.82,-2.9,211987,117334882.0,601919.SH
2018-04-10,-2.85,-2.71,-2.7,-2.85,308507,174554009.0,601919.SH
2018-04-11,-2.65,-2.67,-2.64,-2.74,284681,164202285.0,601919.SH
2018-04-12,-2.7,-2.79,-2.7,-2.8,179352,102008655.0,601919.SH
2018-04-13,-2.77,-2.8,-2.73,-2.8,114017,64441518.0,601919.SH
2018-04-16,-2.8,-2.8,-2.77,-2.87,178684,99915946.0,601919.SH
2018-04-17,-2.79,-2.92,-2.78,-2.94,223735,123849820.0,601919.SH
2018-04-18,-2.9,-2.98,-2.88,-3.04,315836,170000793.0,601919.SH
2018-04-19,-2.95,-2.9,-2.89,-2.97,227971,124336266.0,601919.SH
2018-04-20,-2.88,-2.89,-2.76,-2.91,295828,164066814.0,601919.SH
2018-04-23,-2.87,-2.87,-2.85,-2.97,211550,115867964.0,601919.SH
2018-04-24,-2.89,-2.79,-2.77,-2.9,247907,138940168.0,601919.SH
2018-04-25,-2.8,-2.8,-2.78,-2.84,143297,80185849.0,601919.SH
2018-04-26,-2.78,-2.8,-2.75,-2.84,224861,126341809.0,601919.SH
2018-04-27,-2.8,-2.78,-2.77,-2.92,215314,120377993.0,601919.SH
2018-05-02,-2.83,-2.9,-2.76,-2.92,187724,104662971.0,601919.SH
2018-05-03,-2.89,-2.8,-2.8,-2.92,202085,112101599.0,601919.SH
2018-05-04,-2.8,-2.75,-2.7,-2.81,254092,144280252.0,601919.SH
2018-05-07,-2.77,-2.7,-2.69,-2.77,183371,105037536.0,601919.SH
2018-05-08,-2.72,-2.7,-2.67,-2.73,165404,94953683.0,601919.SH
2018-05-09,-2.69,-2.72,-2.64,-2.76,160569,92130367.0,601919.SH
2018-05-10,-2.7,-2.71,-2.7,-2.75,165892,94802642.0,601919.SH
2018-05-11,-2.71,-2.8,-2.7,-2.81,165478,93297974.0,601919.SH
2018-05-14,-2.79,-2.74,-2.73,-2.79,169793,96477668.0,601919.SH
2018-05-15,-2.72,-2.67,-2.67,-2.76,218627,125568974.0,601919.SH
2018-05-16,-2.69,-2.67,-2.6,-2.71,313703,182672738.0,601919.SH
2018-05-17,-2.64,-2.71,-2.62,-2.74,169637,97856370.0,601919.SH
2018-05-18,-2.74,-2.54,-2.5,-2.77,371296,217934482.0,601919.SH
2018-05-21,-2.3,-2.2,-2.08,-2.34,1055840,678086672.0,601919.SH
2018-05-22,-2.27,-2.2,-2.08,-2.3,469520,300332864.0,601919.SH
2018-05-23,-2.18,-2.34,-2.17,-2.35,312025,196446231.0,601919.SH
2018-05-24,-2.35,-2.4,-2.28,-2.41,263984,163311331.0,601919.SH
2018-05-25,-2.4,-2.37,-2.33,-2.44,207339,127409953.0,601919.SH
2018-05-28,-2.37,-2.3,-2.25,-2.44,278119,173320412.0,601919.SH
2018-05-29,-2.34,-2.27,-2.26,-2.34,272735,171192641.0,601919.SH
2018-05-30,-2.38,-2.52,-2.37,-2.54,298088,179789158.0,601919.SH
2018-05-31,-2.43,-2.41,-2.37,-2.48,308110,187898100.0,601919.SH
2018-06-01,-2.43,-2.46,-2.39,-2.48,97991,59640591.0,601919.SH
2018-06-04,-2.46,-2.57,-2.4,-2.61,235620,141984555.0,601919.SH
2018-06-05,-2.5,-2.43,-2.42,-2.56,259688,155844224.0,601919.SH
2018-06-06,-2.47,-2.48,-2.43,-2.54,188540,113561462.0,601919.SH
2018-06-07,-2.47,-2.55,-2.44,-2.57,191752,114577373.0,601919.SH
2018-06-08,-2.57,-2.71,-2.54,-2.74,312832,181322939.0,601919.SH
2018-06-11,-2.7,-2.72,-2.68,-2.8,193263,110061580.0,601919.SH
2018-06-12,-2.71,-2.8,-2.71,-2.89,271887,151926229.0,601919.SH
2018-06-13,-2.8,-2.8,-2.79,-2.88,162867,90456547.0,601919.SH
2018-06-14,-2.84,-2.89,-2.83,-2.9,194127,107354897.0,601919.SH
2018-06-15,-2.9,-2.87,-2.85,-2.95,203736,111585983.0,601919.SH
2018-06-19,-2.96,-2.86,-2.81,-3.04,755509,413981504.0,601919.SH
2018-06-20,-2.91,-2.87,-2.83,-2.95,136172,74915279.0,601919.SH
2018-06-21,-2.87,-2.94,-2.82,-2.97,143252,78857432.0,601919.SH
2018-06-22,-2.98,-2.94,-2.9,-3.03,112534,60776658.0,601919.SH
2018-06-25,-2.92,-3.0,-2.87,-3.0,105674,57167621.0,601919.SH
2018-06-26,-3.04,-3.3,-3.04,-3.35,454752,229240297.0,601919.SH
2018-06-27,-3.3,-3.33,-3.26,-3.47,286405,139911166.0,601919.SH
2018-06-28,-3.38,-3.41,-3.34,-3.42,131772,64102232.0,601919.SH
2018-06-29,-3.41,-3.34,-3.34,-3.43,154831,75437891.0,601919.SH
2018-07-02,-3.28,-3.41,-3.28,-3.47,190030,92493566.0,601919.SH
2018-07-03,-3.44,-3.48,-3.43,-3.59,271991,127702656.0,601919.SH
2018-07-04,-3.5,-3.52,-3.47,-3.54,136545,64074543.0,601919.SH
2018-07-05,-3.5,-3.47,-3.46,-3.53,185367,87417175.0,601919.SH
2018-07-06,-3.49,-3.53,-3.47,-3.63,150797,70336027.0,601919.SH
2018-07-09,-3.52,-3.48,-3.47,-3.54,97680,46006187.0,601919.SH
2018-07-10,-3.5,-3.47,-3.46,-3.51,90869,42928645.0,601919.SH
2018-07-11,-3.57,-3.74,-3.56,-3.74,306717,136702899.0,601919.SH
2018-07-12,-3.74,-3.67,-3.64,-3.74,193554,86329208.0,601919.SH
2018-07-13,-3.67,-3.66,-3.64,-3.69,134637,60721511.0,601919.SH
2018-07-16,-3.63,-3.6,-3.59,-3.67,133591,60709760.0,601919.SH
2018-07-17,-3.62,-3.63,-3.6,-3.66,110102,49827416.0,601919.SH
2018-07-18,-3.62,-3.61,-3.57,-3.62,124605,57046647.0,601919.SH
2018-07-19,-3.6,-3.7,-3.6,-3.72,142206,63482147.0,601919.SH
2018-07-20,-3.7,-3.77,-3.7,-3.87,291863,126162622.0,601919.SH
2018-07-23,-3.8,-3.65,-3.64,-3.84,337159,148052286.0,601919.SH
2018-07-24,-3.66,-3.49,-3.44,-3.67,367208,171007051.0,601919.SH
2018-07-25,-3.52,-3.54,-3.51,-3.56,200992,93492493.0,601919.SH
2018-07-26,-3.54,-3.54,-3.44,-3.58,276431,129387226.0,601919.SH
2018-07-27,-3.57,-3.59,-3.54,-3.6,167119,76923806.0,601919.SH
2018-07-30,-3.62,-3.67,-3.57,-3.68,174879,79319617.0,601919.SH
2018-07-31,-3.66,-3.65,-3.63,-3.71,149117,66888322.0,601919.SH
2018-08-01,-3.64,-3.63,-3.51,-3.66,349030,161043102.0,601919.SH
2018-08-02,-3.67,-3.8,-3.67,-3.9,302731,131014580.0,601919.SH
2018-08-03,-3.83,-3.78,-3.73,-3.84,222284,96524793.0,601919.SH
2018-08-06,-3.8,-3.91,-3.76,-3.94,208087,88545315.0,601919.SH
2018-08-07,-3.9,-3.77,-3.76,-3.91,210631,90265909.0,601919.SH
2018-08-08,-3.78,-3.77,-3.71,-3.79,163834,71804452.0,601919.SH
2018-08-09,-3.77,-3.7,-3.68,-3.79,193304,85752254.0,601919.SH
2018-08-10,-3.7,-3.7,-3.67,-3.73,143867,63973162.0,601919.SH
2018-08-13,-3.74,-3.75,-3.72,-3.8,106440,46475516.0,601919.SH
2018-08-14,-3.74,-3.73,-3.72,-3.79,76765,33645441.0,601919.SH
2018-08-15,-3.73,-3.86,-3.73,-3.87,210650,90276986.0,601919.SH
2018-08-16,-3.89,-3.87,-3.83,-3.95,135312,56966715.0,601919.SH
2018-08-17,-3.84,-3.94,-3.83,-3.95,132400,55461255.0,601919.SH
