date,target_type,target,horizon,direction,info_type,title,source_url,publisher,strength,confidence,source_weight,event_tag,publish_datetime
2025-01-18,stock,603619.SH,mid,bullish,announcement,中曼石油关于油田项目勘探开发进展的公告,https://data.eastmoney.com/notices/detail/603619/AN202501171642298303.html,东财公告,4,0.82,1.0,contract_win,2025-01-17T16:42:29
2025-01-23,stock,600160.SH,mid,bullish,announcement,巨化股份2024年度业绩预增公告,https://data.eastmoney.com/notices/detail/600160/AN202501221642458142.html,东财公告,4,0.82,1.0,earnings_positive,2025-01-22T16:42:45
2025-03-07,stock,603619.SH,mid,bullish,announcement,中曼石油关于控股股东增持股份暨权益变动触及1%整数倍的提示性公告,https://data.eastmoney.com/notices/detail/603619/AN202503061644115037.html,东财公告,4,0.82,1.0,share_increase,2025-03-06T16:44:11
2025-12-01,stock,000973.SZ,short,bearish,announcement,1佛山佛塑科技集团股份有限公司关于佛山佛塑科技集团股份有限公司发行股份购买资产并募集配套资金申请的审核问询函的回复(三次修订稿),https://data.eastmoney.com/notices/detail/000973/AN202512011791844864.html,eastmoney_notice,3,0.74,1.0,regulatory_negative,
2025-12-01,stock,000973.SZ,short,bearish,announcement,2华泰联合证券有限责任公司关于佛山佛塑科技集团股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易申请的审核问询函回复之专项核查意见,https://data.eastmoney.com/notices/detail/000973/AN202512011791844865.html,eastmoney_notice,3,0.74,1.0,regulatory_negative,
2025-12-01,stock,000973.SZ,short,bearish,announcement,3华兴会计师事务所(特殊普通合伙)关于佛山佛塑科技集团股份有限公司发行股份购买资产并募集配套资金申请的审核问询函回复之专项核查意见,https://data.eastmoney.com/notices/detail/000973/AN202512011791844866.html,eastmoney_notice,3,0.74,1.0,regulatory_negative,
2025-12-01,stock,000973.SZ,mid,neutral,announcement,4北京大成律师事务所关于佛山佛塑科技集团股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易之补充法律意见书(二)(二次修订稿),https://data.eastmoney.com/notices/detail/000973/AN202512011791842754.html,eastmoney_notice,2,0.62,1.0,,
2025-12-01,stock,000973.SZ,short,bearish,announcement,5中联国际房地产土地资产评估咨询(广东)有限公司关于佛山佛塑科技集团股份有限公司发行股份购买资产并募集配套资金申请的审核问询函的回复之专项核查意见,https://data.eastmoney.com/notices/detail/000973/AN202512011791842755.html,eastmoney_notice,3,0.74,1.0,regulatory_negative,
2025-12-01,stock,002812.SZ,short,neutral,announcement,恩捷股份:关于筹划发行股份购买资产并募集配套资金事项的停牌公告,https://data.eastmoney.com/notices/detail/002812/AN202511301791216152.html,eastmoney_notice,2,0.62,1.0,trading_halt,
2025-12-01,stock,603090.SH,mid,neutral,announcement,宏盛股份:投资者问答,https://data.eastmoney.com/notices/detail/603090/AN202512011791903282.html,eastmoney_notice,2,0.62,1.0,,
