date,finance_balance,securities_balance,finance_buy,finance_repay,securities_sell,securities_repay
2018-01-02,608366051878,,27590480172,,76344279,
2018-01-03,608815534517,,30439570182,,74917924,
2018-01-04,610527948195,,29696616884,,81062102,
2018-01-05,611033498008,,30311498312,,72649378,
2018-01-08,614437310945,,36490715414,,104853368,
2018-01-09,616540107796,,30086145554,,69350546,
2018-01-10,619625092233,,33230513439,,88968220,
2018-01-11,621046744130,,28156920753,,85734540,
2018-01-12,619848249343,,26368470723,,80954815,
2018-01-15,621497637591,,36278584789,,132724788,
2018-01-16,625992542194,,34078228867,,74508764,
2018-01-17,627094987907,,39842179516,,138072735,
2018-01-18,634228438561,,36979327828,,103608937,
2018-01-19,636018905560,,37339370592,,105099649,
2018-01-22,639921300534,,33237544268,,87925167,
2018-01-23,644564213418,,37876068321,,86183139,
2018-01-24,646859187212,,42616129855,,98229541,
2018-01-25,647529134317,,38141340740,,95255666,
2018-01-26,646634615949,,34247168309,,76289213,
2018-01-29,648256047965,,38181209245,,71491288,
2018-01-30,648176166579,,28745206171,,60408630,
2018-01-31,645400680690,,28966225507,,73671246,
2018-02-01,636482319607,,29702648663,,79415607,
2018-02-02,631035437334,,27287974198,,56031475,
2018-02-05,630054975768,,29843195422,,104110875,
2018-02-06,619290275865,,31544870755,,96446231,
2018-02-07,616405478519,,35263849592,,95806694,
2018-02-08,615710148081,,25870067541,,80582428,
2018-02-09,604833557210,,27580819000,,104990562,
2018-02-12,600926938548,,16839248965,,100772812,
2018-02-13,595328087592,,16338479817,,72708581,
2018-02-14,587596708400,,9746397185,,38697420,
2018-02-22,590374192560,,19397930848,,141429804,
2018-02-23,590318411364,,17836336744,,80715203,
2018-02-26,592714977109,,25753904633,,97710691,
2018-02-27,593011785899,,22856603849,,74280906,
2018-02-28,594617162664,,21297493208,,90028782,
2018-03-01,595939917864,,20597765093,,81985449,
2018-03-02,595361568569,,19133250564,,65974083,
2018-03-05,595049930410,,18212115131,,87456226,
2018-03-06,597537104191,,27621735488,,120845036,
2018-03-07,596969079947,,21333658687,,142019595,
2018-03-08,597940210780,,19508623178,,80078000,
2018-03-09,597050145863,,22987739737,,85716362,
2018-03-12,600045856188,,30147045291,,92955878,
2018-03-13,599568767827,,23243312776,,83299271,
2018-03-14,600345441237,,21844321789,,86252615,
2018-03-15,601172365606,,20560258426,,101371412,
2018-03-16,600603525889,,19655255713,,70720573,
2018-03-19,601576470724,,19786309333,,115183057,
2018-03-20,602106366122,,19071274527,,90705615,
2018-03-21,603579457196,,24618884450,,113223929,
2018-03-22,603796655509,,19824211088,,87921061,
2018-03-23,593792703708,,25850609555,,134572126,
2018-03-26,597411337395,,24175340823,,108943854,
2018-03-27,599442144212,,25598099415,,109508379,
2018-03-28,599307494218,,21615504204,,131261267,
2018-03-29,600145215249,,24031744677,,130956766,
2018-03-30,598855912677,,21090897971,,75362505,
2018-04-02,601030714928,,26034092292,,114597342,
2018-04-03,601169419027,,19661769790,,72416614,
2018-04-04,598181552536,,19443610928,,64327859,
2018-04-09,599650337034,,19593413352,,92769980,
2018-04-10,599080845943,,21979137912,,139240721,
2018-04-11,599689679276,,22023899412,,91789260,
2018-04-12,600424988033,,18548690772,,58490691,
2018-04-13,599833935982,,16441860274,,73493670,
2018-04-16,601024882857,,20552602328,,104403224,
